" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Sn-Ka Chi2" ," Sn-Ka Area" ," Sn-Ka AreaStd" ," Sn-Ka cps" ," Sn-Ka cpsStd" 
ZH19-35!0!0! 240.0!2019-09-11!01-23-40!50!50!2000!240.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 240.0,240.0,50,104,XRay Tube Generator,1.40E+05,498.5,1745143,1394,34902.86,27.88
ZH19-35!0!0! 245.0!2019-09-11!01-25-33!50!50!2000!245.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 245.0,245.0,50,105,XRay Tube Generator,1.42E+05,436.5,1830338,1427,36606.76,28.53
ZH19-35!0!0! 250.0!2019-09-11!01-27-26!50!50!2000!250.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 250.0,250.0,50,107,XRay Tube Generator,1.45E+05,415.7,1940048,1468,38800.96,29.37
ZH19-35!0!0! 255.0!2019-09-11!01-29-19!50!50!2000!255.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 255.0,255.0,50,107,XRay Tube Generator,1.45E+05,413.7,1933790,1465,38675.79,29.30
ZH19-35!0!0! 260.0!2019-09-11!01-31-12!50!50!2000!260.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 260.0,260.0,50,107,XRay Tube Generator,1.45E+05,388.7,1954155,1467,39083.10,29.33
ZH19-35!0!0! 265.0!2019-09-11!01-33-04!50!50!2000!265.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 265.0,265.0,50,106,XRay Tube Generator,1.45E+05,409.9,1955877,1473,39117.54,29.47
ZH19-35!0!0! 270.0!2019-09-11!01-34-57!50!50!2000!270.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 270.0,270.0,50,106,XRay Tube Generator,1.44E+05,389.4,1930775,1457,38615.50,29.14
ZH19-35!0!0! 275.0!2019-09-11!01-36-50!50!50!2000!275.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 275.0,275.0,50,107,XRay Tube Generator,1.45E+05,406.5,1951055,1470,39021.10,29.41
ZH19-35!0!0! 280.0!2019-09-11!01-38-41!50!50!2000!280.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 280.0,280.0,50,105,XRay Tube Generator,1.42E+05,435.3,1853173,1434,37063.45,28.68
ZH19-35!0!0! 285.0!2019-09-11!01-40-23!50!50!2000!285.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 285.0,285.0,50,95,XRay Tube Generator,1.27E+05,883.1,1206599,1169,24131.98,23.37
ZH19-35!0!0! 290.0!2019-09-11!01-42-04!50!50!2000!290.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 290.0,290.0,50,92,XRay Tube Generator,1.22E+05,1053.2,1015046,1075,20300.92,21.50
ZH19-35!0!0! 295.0!2019-09-11!01-43-40!50!50!2000!295.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 295.0,295.0,50,89,XRay Tube Generator,1.15E+05,1670.9,702027,901,14040.53,18.03
ZH19-35!0!0! 300.0!2019-09-11!01-45-14!50!50!2000!300.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 300.0,300.0,50,86,XRay Tube Generator,1.10E+05,460.0,475189,727,9503.78,14.54
ZH19-35!0!0! 305.0!2019-09-11!01-46-47!50!50!2000!305.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 305.0,305.0,50,86,XRay Tube Generator,1.10E+05,291.8,460713,713,9214.25,14.26
ZH19-35!0!0! 310.0!2019-09-11!01-48-21!50!50!2000!310.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 310.0,310.0,50,86,XRay Tube Generator,1.10E+05,241.6,457881,710,9157.61,14.21
ZH19-35!0!0! 315.0!2019-09-11!01-49-54!50!50!2000!315.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 315.0,315.0,50,86,XRay Tube Generator,1.10E+05,282.7,456878,710,9137.56,14.20
ZH19-35!0!0! 320.0!2019-09-11!01-51-28!50!50!2000!320.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 320.0,320.0,50,86,XRay Tube Generator,1.09E+05,296.2,455371,709,9107.41,14.17
ZH19-35!0!0! 325.0!2019-09-11!01-53-01!50!50!2000!325.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 325.0,325.0,50,86,XRay Tube Generator,1.09E+05,299.5,454092,708,9081.83,14.15
ZH19-35!0!0! 330.0!2019-09-11!01-54-35!50!50!2000!330.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 330.0,330.0,50,86,XRay Tube Generator,1.09E+05,303.8,452995,707,9059.91,14.14
ZH19-35!0!0! 335.0!2019-09-11!01-56-08!50!50!2000!335.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 335.0,335.0,50,86,XRay Tube Generator,1.09E+05,298.4,450658,705,9013.16,14.10
ZH19-35!0!0! 340.0!2019-09-11!01-57-42!50!50!2000!340.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 340.0,340.0,50,86,XRay Tube Generator,1.09E+05,291.1,451346,705,9026.93,14.11
ZH19-35!0!0! 345.0!2019-09-11!01-59-17!50!50!2000!345.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 345.0,345.0,50,86,XRay Tube Generator,1.09E+05,297.4,449912,705,8998.24,14.09
ZH19-35!0!0! 350.0!2019-09-11!02-00-51!50!50!2000!350.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 350.0,350.0,50,86,XRay Tube Generator,1.09E+05,302.0,448210,703,8964.20,14.06
ZH19-35!0!0! 355.0!2019-09-11!02-02-24!50!50!2000!355.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 355.0,355.0,50,86,XRay Tube Generator,1.09E+05,278.2,449931,705,8998.63,14.09
ZH19-35!0!0! 360.0!2019-09-11!02-03-58!50!50!2000!360.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 360.0,360.0,50,86,XRay Tube Generator,1.09E+05,295.0,449776,704,8995.52,14.09
ZH19-35!0!0! 365.0!2019-09-11!02-05-31!50!50!2000!365.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 365.0,365.0,50,86,XRay Tube Generator,1.09E+05,299.6,448829,703,8976.58,14.07
ZH19-35!0!0! 370.0!2019-09-11!02-07-05!50!50!2000!370.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 370.0,370.0,50,86,XRay Tube Generator,1.09E+05,309.4,449716,704,8994.31,14.09
ZH19-35!0!0! 375.0!2019-09-11!02-08-39!50!50!2000!375.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 375.0,375.0,50,86,XRay Tube Generator,1.08E+05,240.9,451214,705,9024.29,14.10
ZH19-35!0!0! 380.0!2019-09-11!02-10-12!50!50!2000!380.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 380.0,380.0,50,85,XRay Tube Generator,1.08E+05,236.8,452491,706,9049.81,14.12
ZH19-35!0!0! 385.0!2019-09-11!02-11-46!50!50!2000!385.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 385.0,385.0,50,85,XRay Tube Generator,1.08E+05,302.0,452264,706,9045.28,14.13
ZH19-35!0!0! 390.0!2019-09-11!02-13-19!50!50!2000!390.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 390.0,390.0,50,86,XRay Tube Generator,1.09E+05,235.1,454196,707,9083.93,14.14
ZH19-35!0!0! 395.0!2019-09-11!02-14-53!50!50!2000!395.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 395.0,395.0,50,86,XRay Tube Generator,1.09E+05,300.9,455944,709,9118.89,14.17
ZH19-35!0!0! 400.0!2019-09-11!02-16-27!50!50!2000!400.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 400.0,400.0,50,86,XRay Tube Generator,1.09E+05,297.9,457045,709,9140.89,14.19
ZH19-35!0!0! 405.0!2019-09-11!02-18-00!50!50!2000!405.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 405.0,405.0,50,86,XRay Tube Generator,1.09E+05,297.0,458496,711,9169.92,14.22
ZH19-35!0!0! 410.0!2019-09-11!02-19-34!50!50!2000!410.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 410.0,410.0,50,86,XRay Tube Generator,1.10E+05,285.8,458766,711,9175.32,14.23
ZH19-35!0!0! 415.0!2019-09-11!02-21-07!50!50!2000!415.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 415.0,415.0,50,86,XRay Tube Generator,1.10E+05,235.4,458981,711,9179.62,14.22
ZH19-35!0!0! 420.0!2019-09-11!02-22-41!50!50!2000!420.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 420.0,420.0,50,86,XRay Tube Generator,1.09E+05,299.8,458619,711,9172.38,14.22
ZH19-35!0!0! 425.0!2019-09-11!02-24-16!50!50!2000!425.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 425.0,425.0,50,86,XRay Tube Generator,1.09E+05,276.8,457899,710,9157.97,14.21
ZH19-35!0!0! 430.0!2019-09-11!02-25-50!50!50!2000!430.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 430.0,430.0,50,86,XRay Tube Generator,1.09E+05,304.8,458713,711,9174.25,14.22
ZH19-35!0!0! 435.0!2019-09-11!02-27-24!50!50!2000!435.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 435.0,435.0,50,86,XRay Tube Generator,1.09E+05,233.9,455888,709,9117.75,14.18
ZH19-35!0!0! 440.0!2019-09-11!02-28-57!50!50!2000!440.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 440.0,440.0,50,86,XRay Tube Generator,1.09E+05,307.0,456400,709,9127.99,14.19
ZH19-35!0!0! 445.0!2019-09-11!02-30-31!50!50!2000!445.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 445.0,445.0,50,86,XRay Tube Generator,1.09E+05,293.1,456298,709,9125.96,14.18
ZH19-35!0!0! 450.0!2019-09-11!02-32-07!50!50!2000!450.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 450.0,450.0,50,86,XRay Tube Generator,1.09E+05,300.0,455887,709,9117.74,14.18
ZH19-35!0!0! 455.0!2019-09-11!02-33-42!50!50!2000!455.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 455.0,455.0,50,86,XRay Tube Generator,1.09E+05,286.8,455216,708,9104.31,14.17
ZH19-35!0!0! 460.0!2019-09-11!02-35-16!50!50!2000!460.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 460.0,460.0,50,85,XRay Tube Generator,1.08E+05,306.4,454442,708,9088.84,14.16
ZH19-35!0!0! 465.0!2019-09-11!02-36-50!50!50!2000!465.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 465.0,465.0,50,85,XRay Tube Generator,1.08E+05,288.9,453422,707,9068.45,14.13
